domain,check,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,win_rate,status,source_path
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_control_score,control_score,native_real_freqhrl,native_real_interval,increase,96,3496.2557979548237,2982.947736495579,3988.301337893005,3496.2557979548237,2934.585852256747,4027.2998713745774,1.0,supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_ep_reward,ep_reward,native_real_freqhrl,native_real_interval,increase,96,3074.8918645833332,2560.8985421875,3564.7558065104163,3074.8918645833332,2514.685559375,3605.8400763020836,0.9791666666666666,supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_avg_wait_min,avg_wait_min,native_real_freqhrl,native_real_interval,decrease,96,-0.23042402475766818,-0.23268751161159995,-0.2278727436655249,0.23042402475766818,0.22801098139266662,0.23273189888514437,1.0,supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_native_avg_board_wait_min,native_avg_board_wait_min,native_real_freqhrl,native_real_interval,decrease,96,-0.17596288660765935,-0.17768862912478525,-0.17401275120262616,0.17596288660765935,0.17412352267208914,0.17772517905202356,1.0,supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_native_boarded_pax,native_boarded_pax,native_real_freqhrl,native_real_interval,increase,96,16.75886846722443,16.57332075143214,16.92272811720712,16.75886846722443,16.58332646270419,16.926636757199535,1.0,supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_native_alighted_pax,native_alighted_pax,native_real_freqhrl,native_real_interval,increase,96,16.75886846722443,16.57332075143214,16.92272811720712,16.75886846722443,16.58332646270419,16.926636757199535,1.0,supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_native_completed_throughput_pax,native_completed_throughput_pax,native_real_freqhrl,native_real_interval,increase,96,16.75886846722443,16.57332075143214,16.92272811720712,16.75886846722443,16.58332646270419,16.926636757199535,1.0,supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_native_unalighted_pax,native_unalighted_pax,native_real_freqhrl,native_real_interval,decrease,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_native_avg_onboard_load,native_avg_onboard_load,native_real_freqhrl,native_real_interval,decrease,96,-4.8240972293223106e-08,-1.6113393970680623e-07,1.6411022827136912e-08,4.8240972293223106e-08,-1.6411022827136912e-08,1.6113393970680623e-07,0.010416666666666666,inconclusive,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_native_service_adjusted,native_service_adjusted,native_real_freqhrl,native_real_interval,increase,96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_service_adjustment_signal,service_adjustment_signal,native_real_freqhrl,native_real_interval,increase,96,0.41897171168060904,0.41433301878580303,0.4230682029301825,0.41897171168060904,0.41458316156760117,0.423165918929993,1.0,supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_service_adjustment_wait_reduction_min,service_adjustment_wait_reduction_min,native_real_freqhrl,native_real_interval,increase,96,0.23043444142433497,0.2278831603321917,0.23268751161160037,0.23043444142433497,0.2280207388621807,0.23274125541149615,1.0,supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_service_adjustment_board_wait_reduction_min,service_adjustment_board_wait_reduction_min,native_real_freqhrl,native_real_interval,increase,96,0.1759681189058558,0.17401986789003732,0.17768864523067665,0.1759681189058558,0.17412492785839248,0.17772968595059702,1.0,supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_service_adjustment_throughput_gain_pax,service_adjustment_throughput_gain_pax,native_real_freqhrl,native_real_interval,increase,96,16.75886846722436,16.573320751432124,16.9227281172073,16.75886846722436,16.583326462704047,16.92663675719972,1.0,supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_service_adjustment_lower_lf_drift_reduction,service_adjustment_lower_lf_drift_reduction,native_real_freqhrl,native_real_interval,increase,96,0.17266016395843964,0.17059735846963153,0.17458447884410858,0.17266016395843964,0.1707050549700055,0.1745971184334743,1.0,supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_native_raw_avg_wait_min,native_raw_avg_wait_min,native_real_freqhrl,native_real_interval,decrease,96,1.0416666666716404e-05,0.0,3.1250000000149214e-05,-1.0416666666716404e-05,-3.1250000000149214e-05,0.0,0.0,not_supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_native_raw_native_avg_board_wait_min,native_raw_native_avg_board_wait_min,native_real_freqhrl,native_real_interval,decrease,96,5.232298196100604e-06,0.0,1.5052658959328427e-05,-5.232298196100604e-06,-1.5052658959328427e-05,0.0,0.0,not_supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_native_raw_native_alighted_pax,native_raw_native_alighted_pax,native_real_freqhrl,native_real_interval,increase,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_native_raw_native_completed_throughput_pax,native_raw_native_completed_throughput_pax,native_real_freqhrl,native_real_interval,increase,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_native_raw_LowerLFDrift,native_raw_LowerLFDrift,native_real_freqhrl,native_real_interval,decrease,96,5.951292752226963e-07,-2.413240104172376e-07,2.0267118360853265e-06,-5.951292752226963e-07,-2.0267118360853265e-06,2.413240104172376e-07,0.010416666666666666,not_supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_LowerLFDrift,LowerLFDrift,native_real_freqhrl,native_real_interval,decrease,96,-0.17265956882916442,-0.17458390060409862,-0.1705954439666294,0.17265956882916442,0.1707038518442566,0.17459646377419438,1.0,supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
