scenario,promotion_threshold,promotion_ratio,promotion_mid_gain,promotion_adapt_gain,freq_sharpe,noprom_sharpe,sharpe_delta,freq_return,noprom_return,return_delta,freq_post_shift_pnl,noprom_post_shift_pnl,post_shift_delta,freq_recovery_cost,noprom_recovery_cost,recovery_cost_delta,recovery_score,freq_promotion_count,freq_promotion_delay,freq_focus
persistent_shift,0.0006,0.15,0.0,0.25,15.84779072871435,15.84779072871435,0.0,0.24262805603606843,0.24262805603606843,0.0,0.06047758388492589,0.06047758388492589,0.0,0.0014347341615043186,0.0014347341615043186,0.0,0.0,0.0,-1.0,0.8246003255289323
persistent_shift,0.0006,0.15,0.0,0.5,15.84779072871435,15.84779072871435,0.0,0.24262805603606843,0.24262805603606843,0.0,0.06047758388492589,0.06047758388492589,0.0,0.0014347341615043186,0.0014347341615043186,0.0,0.0,0.0,-1.0,0.8246003255289323
persistent_shift,0.0006,0.15,0.0,0.75,15.84779072871435,15.84779072871435,0.0,0.24262805603606843,0.24262805603606843,0.0,0.06047758388492589,0.06047758388492589,0.0,0.0014347341615043186,0.0014347341615043186,0.0,0.0,0.0,-1.0,0.8246003255289323
persistent_shift,0.0006,0.15,0.5,0.0,15.84779072871435,15.84779072871435,0.0,0.24262805603606843,0.24262805603606843,0.0,0.06047758388492589,0.06047758388492589,0.0,0.0014347341615043186,0.0014347341615043186,0.0,0.0,0.0,-1.0,0.8246003255289323
persistent_shift,0.0006,0.15,0.5,0.1,15.84779072871435,15.84779072871435,0.0,0.24262805603606843,0.24262805603606843,0.0,0.06047758388492589,0.06047758388492589,0.0,0.0014347341615043186,0.0014347341615043186,0.0,0.0,0.0,-1.0,0.8246003255289323
persistent_shift,0.0006,0.15,0.5,0.25,15.84779072871435,15.84779072871435,0.0,0.24262805603606843,0.24262805603606843,0.0,0.06047758388492589,0.06047758388492589,0.0,0.0014347341615043186,0.0014347341615043186,0.0,0.0,0.0,-1.0,0.8246003255289323
persistent_shift,0.0006,0.15,0.5,0.5,15.84779072871435,15.84779072871435,0.0,0.24262805603606843,0.24262805603606843,0.0,0.06047758388492589,0.06047758388492589,0.0,0.0014347341615043186,0.0014347341615043186,0.0,0.0,0.0,-1.0,0.8246003255289323
persistent_shift,0.0006,0.15,0.5,0.75,15.84779072871435,15.84779072871435,0.0,0.24262805603606843,0.24262805603606843,0.0,0.06047758388492589,0.06047758388492589,0.0,0.0014347341615043186,0.0014347341615043186,0.0,0.0,0.0,-1.0,0.8246003255289323
persistent_shift,0.0006,0.15,1.0,0.0,15.84779072871435,15.84779072871435,0.0,0.24262805603606843,0.24262805603606843,0.0,0.06047758388492589,0.06047758388492589,0.0,0.0014347341615043186,0.0014347341615043186,0.0,0.0,0.0,-1.0,0.8246003255289323
persistent_shift,0.0006,0.15,1.0,0.1,15.84779072871435,15.84779072871435,0.0,0.24262805603606843,0.24262805603606843,0.0,0.06047758388492589,0.06047758388492589,0.0,0.0014347341615043186,0.0014347341615043186,0.0,0.0,0.0,-1.0,0.8246003255289323
persistent_shift,0.0006,0.15,1.0,0.25,15.84779072871435,15.84779072871435,0.0,0.24262805603606843,0.24262805603606843,0.0,0.06047758388492589,0.06047758388492589,0.0,0.0014347341615043186,0.0014347341615043186,0.0,0.0,0.0,-1.0,0.8246003255289323
persistent_shift,0.0006,0.15,1.0,0.5,15.84779072871435,15.84779072871435,0.0,0.24262805603606843,0.24262805603606843,0.0,0.06047758388492589,0.06047758388492589,0.0,0.0014347341615043186,0.0014347341615043186,0.0,0.0,0.0,-1.0,0.8246003255289323
persistent_shift,0.0006,0.15,1.0,0.75,15.84779072871435,15.84779072871435,0.0,0.24262805603606843,0.24262805603606843,0.0,0.06047758388492589,0.06047758388492589,0.0,0.0014347341615043186,0.0014347341615043186,0.0,0.0,0.0,-1.0,0.8246003255289323
persistent_shift,0.0006,0.2,0.0,0.0,15.84779072871435,15.84779072871435,0.0,0.24262805603606843,0.24262805603606843,0.0,0.06047758388492589,0.06047758388492589,0.0,0.0014347341615043186,0.0014347341615043186,0.0,0.0,0.0,-1.0,0.8246003255289323
persistent_shift,0.0006,0.2,0.0,0.1,15.84779072871435,15.84779072871435,0.0,0.24262805603606843,0.24262805603606843,0.0,0.06047758388492589,0.06047758388492589,0.0,0.0014347341615043186,0.0014347341615043186,0.0,0.0,0.0,-1.0,0.8246003255289323
persistent_shift,0.0006,0.2,0.0,0.25,15.84779072871435,15.84779072871435,0.0,0.24262805603606843,0.24262805603606843,0.0,0.06047758388492589,0.06047758388492589,0.0,0.0014347341615043186,0.0014347341615043186,0.0,0.0,0.0,-1.0,0.8246003255289323
persistent_shift,0.0006,0.2,0.0,0.5,15.84779072871435,15.84779072871435,0.0,0.24262805603606843,0.24262805603606843,0.0,0.06047758388492589,0.06047758388492589,0.0,0.0014347341615043186,0.0014347341615043186,0.0,0.0,0.0,-1.0,0.8246003255289323
persistent_shift,0.0006,0.2,0.0,0.75,15.84779072871435,15.84779072871435,0.0,0.24262805603606843,0.24262805603606843,0.0,0.06047758388492589,0.06047758388492589,0.0,0.0014347341615043186,0.0014347341615043186,0.0,0.0,0.0,-1.0,0.8246003255289323
persistent_shift,0.0006,0.2,0.5,0.0,15.84779072871435,15.84779072871435,0.0,0.24262805603606843,0.24262805603606843,0.0,0.06047758388492589,0.06047758388492589,0.0,0.0014347341615043186,0.0014347341615043186,0.0,0.0,0.0,-1.0,0.8246003255289323
persistent_shift,0.0006,0.2,0.5,0.1,15.84779072871435,15.84779072871435,0.0,0.24262805603606843,0.24262805603606843,0.0,0.06047758388492589,0.06047758388492589,0.0,0.0014347341615043186,0.0014347341615043186,0.0,0.0,0.0,-1.0,0.8246003255289323
persistent_shift,0.0006,0.2,0.5,0.25,15.84779072871435,15.84779072871435,0.0,0.24262805603606843,0.24262805603606843,0.0,0.06047758388492589,0.06047758388492589,0.0,0.0014347341615043186,0.0014347341615043186,0.0,0.0,0.0,-1.0,0.8246003255289323
persistent_shift,0.0006,0.2,0.5,0.5,15.84779072871435,15.84779072871435,0.0,0.24262805603606843,0.24262805603606843,0.0,0.06047758388492589,0.06047758388492589,0.0,0.0014347341615043186,0.0014347341615043186,0.0,0.0,0.0,-1.0,0.8246003255289323
persistent_shift,0.0006,0.2,0.5,0.75,15.84779072871435,15.84779072871435,0.0,0.24262805603606843,0.24262805603606843,0.0,0.06047758388492589,0.06047758388492589,0.0,0.0014347341615043186,0.0014347341615043186,0.0,0.0,0.0,-1.0,0.8246003255289323
persistent_shift,0.0006,0.2,1.0,0.0,15.84779072871435,15.84779072871435,0.0,0.24262805603606843,0.24262805603606843,0.0,0.06047758388492589,0.06047758388492589,0.0,0.0014347341615043186,0.0014347341615043186,0.0,0.0,0.0,-1.0,0.8246003255289323
persistent_shift,0.0006,0.2,1.0,0.1,15.84779072871435,15.84779072871435,0.0,0.24262805603606843,0.24262805603606843,0.0,0.06047758388492589,0.06047758388492589,0.0,0.0014347341615043186,0.0014347341615043186,0.0,0.0,0.0,-1.0,0.8246003255289323
