environment,disturbance_mode,arm,upper_constraint_mode,upper_dual_lr,upper_hf_penalty_coef,replicate_count,baseline_return_mean,candidate_return_mean,return_difference_mean,return_difference_one_sided_lower,return_difference_one_sided_upper,reward_noninferiority_margin,reward_noninferiority_pass,responsibility_drift_one_sided_upper,required_responsibility_drift_reduction,responsibility_drift_pass,raw_lower_drift_one_sided_upper,required_raw_lower_drift_reduction,raw_lower_drift_pass,upper_hf_rms,upper_hf_rms_one_sided_upper,upper_hf_budget_pass,reconstruction_rms_max,reconstruction_integrity_pass,minimum_normalized_safety_slack,condition_gate_pass
Hopper-v5,high_frequency,crossed_joint_pd2,primal_dual,2.0,0.0,8,81.34025210895516,81.34025210895516,0.0,0.0,0.0,1.6268050421791032,True,-4.113426165616226e-06,8.708142882171784e-07,True,0.0,8.708142882171784e-07,False,0.00038496573498554955,0.00042178120088908817,True,1.9672463605165035e-10,True,-1.0,False
Hopper-v5,mixed,crossed_joint_pd2,primal_dual,2.0,0.0,8,39.36014357967,39.36014357967,0.0,0.0,0.0,0.7872028715934001,True,-1.8400119669023867e-06,1.1396276667363616e-06,True,0.0,1.1396276667363616e-06,False,0.0010356889107138783,0.0011132615781474268,True,2.816875229883391e-10,True,-1.0,False
Hopper-v5,ood_chirp,crossed_joint_pd2,primal_dual,2.0,0.0,8,58.66395222670211,58.66395222670211,0.0,0.0,0.0,1.1732790445340422,True,-2.4792921930397903e-06,1.1818669381156331e-06,True,0.0,1.1818669381156331e-06,False,0.0008681593113741915,0.0009374441245302308,True,2.4584359732130185e-10,True,-1.0,False
Walker2d-v5,standard,crossed_joint_pd2,primal_dual,2.0,0.0,8,98.91276993147244,98.91276993147244,0.0,0.0,0.0,1.9782553986294489,True,-6.521622708051614e-06,1.6036009128801861e-06,True,0.0,1.6036009128801861e-06,False,0.0008565153881647126,0.0009307833093425213,True,2.6939458450452816e-10,True,-1.0,False
Walker2d-v5,low_frequency,crossed_joint_pd2,primal_dual,2.0,0.0,8,15.813602945949686,15.813602945949686,0.0,0.0,0.0,0.31627205891899374,True,-2.6516500597907745e-06,1.9336110848546283e-06,True,0.0,1.9336110848546283e-06,False,0.0019890738290212796,0.002093957267487904,True,2.0250723456233744e-10,True,-1.0,False
Walker2d-v5,high_frequency,crossed_joint_pd2,primal_dual,2.0,0.0,8,55.330804371344,55.330804371344,0.0,0.0,0.0,1.10661608742688,True,-7.2640031732599695e-06,1.7261367321439409e-06,True,0.0,1.7261367321439409e-06,False,0.0013499402211048573,0.0014536729155590112,True,2.2954291638053893e-10,True,-1.0,False
Walker2d-v5,mixed,crossed_joint_pd2,primal_dual,2.0,0.0,8,15.384448873734918,15.384448873734918,0.0,0.0,0.0,0.30768897747469837,True,-2.561232336526134e-06,1.880104884508677e-06,True,0.0,1.880104884508677e-06,False,0.002002798469433262,0.0021204304119119594,True,2.7649079097218155e-10,True,-1.0,False
Walker2d-v5,ood_chirp,crossed_joint_pd2,primal_dual,2.0,0.0,8,17.576255554457095,17.576255554457095,0.0,0.0,0.0,0.3515251110891419,True,-3.385450373041348e-06,2.0324388277078063e-06,True,0.0,2.0324388277078063e-06,False,0.0019257449344552181,0.00200686091134705,True,2.3784771138390196e-10,True,-1.0,False
HalfCheetah-v5,standard,crossed_joint_pd8,primal_dual,8.0,0.0,8,216.79242093188972,214.20369705395615,-2.588723877933603,-250.52192225227324,242.05940524661779,4.335848418637794,False,8.276920478525598e-05,2.0068945043173744e-05,False,0.00016880818894831042,2.0068945043173744e-05,False,0.01722318306315315,0.023617776089728565,True,3.1092264236158995e-09,True,-56.779215983519194,False
HalfCheetah-v5,low_frequency,crossed_joint_pd8,primal_dual,8.0,0.0,8,141.65755949948093,155.32362633110125,13.666066831620327,-142.63852486751296,193.44306657216237,2.8331511899896187,False,7.032765313873046e-05,2.3800790697746823e-05,False,0.0006097136213622626,2.3800790697746823e-05,False,0.016115055452888653,0.022014727031255274,True,4.334749819795443e-09,True,-49.34624532975793,False
HalfCheetah-v5,high_frequency,crossed_joint_pd8,primal_dual,8.0,0.0,8,121.50208803795503,133.87598211271674,12.37389407476168,-158.2245500969767,187.3833506088999,2.4300417607591007,False,6.452893585276193e-05,2.13069071373563e-05,False,0.0002438402536504304,2.13069071373563e-05,False,0.017669700657414446,0.02372034120205248,True,2.9359975322683387e-09,True,-64.11186459921176,False
HalfCheetah-v5,mixed,crossed_joint_pd8,primal_dual,8.0,0.0,8,83.61782065679245,96.92162310802567,13.303802451233238,-114.71337043128749,152.86818745331095,1.672356413135849,False,8.447386871898897e-05,2.6055567105983976e-05,False,0.00038204761781278097,2.6055567105983976e-05,False,0.019117255527118945,0.026958732050680844,True,3.872935270175179e-09,True,-67.59385327807458,False
HalfCheetah-v5,ood_chirp,crossed_joint_pd8,primal_dual,8.0,0.0,8,150.0026106155437,186.60942036299787,36.60680974745418,-139.75985644108144,220.81469986095306,3.000052212310874,False,9.673116236321613e-05,2.3753500416955365e-05,False,0.0003176374004791242,2.3753500416955365e-05,False,0.016081829683074304,0.022416134624674268,True,4.04380120293831e-09,True,-45.585808029463436,False
Hopper-v5,standard,crossed_joint_pd8,primal_dual,8.0,0.0,8,101.95645655330542,101.95645655330542,0.0,0.0,0.0,2.039129131066108,True,-4.376807132381702e-06,8.72377620431706e-07,True,0.0,8.72377620431706e-07,False,0.00032139303966769004,0.0003655305533547855,True,2.1734173922465132e-10,True,-1.0,False
Hopper-v5,low_frequency,crossed_joint_pd8,primal_dual,8.0,0.0,8,39.81529473283908,39.81529473283908,0.0,0.0,0.0,0.7963058946567816,True,-1.8463519435726765e-06,1.1425886418527924e-06,True,0.0,1.1425886418527924e-06,False,0.0010479547095014153,0.0011235964026114844,True,3.4106576798264376e-10,True,-1.0,False
Hopper-v5,high_frequency,crossed_joint_pd8,primal_dual,8.0,0.0,8,81.34025210895516,81.34025210895516,0.0,0.0,0.0,1.6268050421791032,True,-4.116996029182994e-06,8.708142882171784e-07,True,0.0,8.708142882171784e-07,False,0.00038496573498554955,0.00042132197413217954,True,1.9672463605165035e-10,True,-1.0,False
Hopper-v5,mixed,crossed_joint_pd8,primal_dual,8.0,0.0,8,39.36014357967,39.36014357967,0.0,0.0,0.0,0.7872028715934001,True,-1.8363040587149208e-06,1.1396276667363616e-06,True,0.0,1.1396276667363616e-06,False,0.0010356889107138783,0.0011150851929514316,True,2.816875229883391e-10,True,-1.0,False
Hopper-v5,ood_chirp,crossed_joint_pd8,primal_dual,8.0,0.0,8,58.66395222670211,58.66395222670211,0.0,0.0,0.0,1.1732790445340422,True,-2.4792921930397903e-06,1.1818669381156331e-06,True,0.0,1.1818669381156331e-06,False,0.0008681593113741915,0.0009377379132007994,True,2.4584359732130185e-10,True,-1.0,False
Walker2d-v5,standard,crossed_joint_pd8,primal_dual,8.0,0.0,8,98.91276993147244,98.91276993147244,0.0,0.0,0.0,1.9782553986294489,True,-6.508330862052702e-06,1.6036009128801861e-06,True,0.0,1.6036009128801861e-06,False,0.0008565153881647126,0.0009303024840520774,True,2.6939458450452816e-10,True,-1.0,False
Walker2d-v5,low_frequency,crossed_joint_pd8,primal_dual,8.0,0.0,8,15.813602945949686,15.813602945949686,0.0,0.0,0.0,0.31627205891899374,True,-2.6593213774733136e-06,1.9336110848546283e-06,True,0.0,1.9336110848546283e-06,False,0.0019890738290212796,0.0020938644968149928,True,2.0250723456233744e-10,True,-1.0,False
Walker2d-v5,high_frequency,crossed_joint_pd8,primal_dual,8.0,0.0,8,55.330804371344,55.330804371344,0.0,0.0,0.0,1.10661608742688,True,-7.297582086540491e-06,1.7261367321439409e-06,True,0.0,1.7261367321439409e-06,False,0.0013499402211048573,0.0014522903038023843,True,2.2954291638053893e-10,True,-1.0,False
Walker2d-v5,mixed,crossed_joint_pd8,primal_dual,8.0,0.0,8,15.384448873734918,15.384448873734918,0.0,0.0,0.0,0.30768897747469837,True,-2.5652132515284756e-06,1.880104884508677e-06,True,0.0,1.880104884508677e-06,False,0.002002798469433262,0.0021199464036975465,True,2.7649079097218155e-10,True,-1.0,False
Walker2d-v5,ood_chirp,crossed_joint_pd8,primal_dual,8.0,0.0,8,17.576255554457095,17.576255554457095,0.0,0.0,0.0,0.3515251110891419,True,-3.3890810859999213e-06,2.0324388277078063e-06,True,0.0,2.0324388277078063e-06,False,0.0019257449344552181,0.00200670727174296,True,2.3784771138390196e-10,True,-1.0,False
